"nomeMaquina";"nomeComponente";"nomeMetrica";"unidadeDeMedida";"dataColeta";"valorLeitura"
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:55";6.51
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:53";6.58
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:51";6.57
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:50";6.54
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:48";6.59
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:46";6.82
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:45";6.88
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:43";6.91
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:41";6.83
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:39";6.82
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:38";6.82
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:36";6.85
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:34";6.85
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:33";6.86
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:31";6.83
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:29";6.8
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:28";6.79
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:26";6.79
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:24";6.79
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:23";6.79
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:21";6.79
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:19";6.79
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:18";6.8
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:16";6.79
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:14";6.8
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:13";6.79
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:11";6.79
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:10";6.79
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:08";6.79
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:06";6.79
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:05";6.78
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:03";6.79
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:01";6.78
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:00";6.78
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:58";6.79
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:57";6.8
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:55";6.8
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:53";6.79
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:52";6.79
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:50";6.99
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:48";6.99
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:47";7.0
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:45";7.0
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:43";7.01
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:42";7.01
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:40";7.01
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:39";7.1
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:37";7.1
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:35";7.18
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:33";7.2
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:32";7.18
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:30";7.2
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:28";7.2
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:26";7.19
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:24";7.2
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:22";7.23
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:20";7.31
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:19";7.33
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:17";7.35
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:15";7.2
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:13";6.73
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:11";6.65
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:10";6.88
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:08";7.21
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:06";7.21
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:04";7.21
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:02";7.05
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:48:00";6.77
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:59";6.69
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:57";6.69
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:55";6.67
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:53";6.69
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:52";6.71
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:50";6.75
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:48";6.79
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:46";6.81
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:45";6.81
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:43";6.82
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:41";6.78
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:40";6.78
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:38";6.8
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:36";6.81
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:35";6.82
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:33";6.77
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:31";6.63
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:29";6.63
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:27";6.63
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:26";6.62
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:24";6.67
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:22";6.73
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:20";6.73
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:18";6.76
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:17";6.77
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:47:15";6.77
